m2,nb_rooms,nb_bedrooms,building_floor,apartment_floor,nb_bath,Cellar,balc_patio,Heating,Renovated,Parking,building_height,Ground_floor,Heating_Central,Heating_Individual,Last_floor,district,SalePrice_K
3.4011973816621555,1,0,8,5,1,1,0,Central,0,0,Average,0,1,0,0,10e,5.8916442118257715
4.007333185232471,2,1,6,1,1,1,0,Unknown,0,0,Average,0,0,0,0,17e,6.565264970035361
3.295836866004329,1,0,10,9,1,1,Balcon,Au gaz,0,0,High,0,0,0,0,15e,5.958424693029782
4.418840607796598,4,3,29,13,1,1,0,Unknown,0,1,Tower,0,0,0,0,19e,6.744059186311348
3.4657359027997265,1,0,31,8,1,1,0,Au gaz,0,1,Tower,0,0,0,0,13e,5.641907070938114
4.174387269895637,3,2,6,3,1,1,0,Unknown,0,0,Average,0,0,0,0,12e,6.652863029353347
5.342334251964811,8,4,3,0,2,0,0,Individuel,0,0,Small,1,0,1,0,18e,7.736307096548285
3.912023005428146,3,1,6,2,1,1,0,Unknown,0,0,Average,0,0,0,0,18e,6.453624998892692
4.762173934797756,6,3,6,6,1,1,0,Unknown,0,0,Average,0,0,0,1,10e,7.1308988302963465
3.2188758248682006,1,0,0,1,1,0,0,Unknown,0,0,Average,0,0,0,0,18e,5.579729825986222
3.295836866004329,2,1,6,5,1,1,0,Unknown,0,0,Average,0,0,0,0,7e,5.950642552587727
3.6375861597263857,2,1,4,3,1,0,0,Unknown,1,0,Average,0,0,0,0,18e,5.855071922202427
4.553876891600541,3,1,5,5,1,1,0,Individuel,0,0,Average,0,0,1,1,2e,7.237059026124737
4.51085950651685,4,2,8,2,1,1,Balcon,Central,0,0,Average,0,1,0,0,15e,7.034387929915503
4.912654885736052,5,3,6,3,2,1,Balcon,"Individuel, au gaz",0,0,Average,0,0,1,0,10e,7.371489295214277
5.204006687076795,6,4,6,6,2,1,0,Unknown,0,0,Average,0,0,0,1,17e,7.803843303538772
5.231108616854587,6,3,6,4,1,0,Balcon,électrique,0,0,Average,0,0,0,0,8e,7.813995675002791
4.499809670330265,5,3,3,2,1,1,0,Central,1,0,Small,0,1,0,0,15e,6.866933284461882
3.4965075614664802,1,0,14,1,1,0,0,Unknown,0,1,Tower,0,0,0,0,19e,5.794841205603168
3.367295829986474,1,0,6,3,1,0,0,Unknown,0,0,Average,0,0,0,0,16e,6.124683390894205
5.111987788356544,6,5,4,0,2,0,Terrasse,Unknown,0,0,Average,1,0,0,0,20e,7.5443321080536885
4.804021044733257,5,3,10,2,2,0,Balcon,Unknown,0,0,High,0,0,0,0,16e,7.394800374082724
4.564348191467836,4,3,6,4,2,0,0,Unknown,0,0,Average,0,0,0,0,17e,7.166265974133638
